PROV850;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;x
PROV851;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;x
PROV852;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;x
PROV853;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;x
PROV958;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;x
PROV964;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;Akmescit;x
PROV967;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;x
PROV968;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;Hacïbey;x
PROV1044;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;x
PROV2583;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;x
